,player,gp,min,pts,fgm,fga,fg%,3pm,3pa,3p%,ftm,fta,ft%,oreb,dreb,reb,ast,stl,blk,tov,eff
134,Patty Mills,80.0,21.9,9.5,3.4,7.8,44.0,1.8,4.4,41.4,0.8,1.0,82.5,0.3,1.5,1.8,3.5,0.8,0.0,1.3,9.8
135,Nik Stauskas,80.0,27.4,9.5,3.1,7.9,39.6,1.7,4.5,36.8,1.5,1.9,81.3,0.3,2.6,2.8,2.4,0.6,0.4,1.6,8.9
136,Brandon Ingram,79.0,28.8,9.4,3.5,8.7,40.2,0.7,2.4,29.4,1.7,2.7,62.1,0.8,3.2,4.0,2.1,0.6,0.5,1.5,8.9
137,Ish Smith,81.0,24.1,9.4,4.1,9.2,43.9,0.3,1.3,26.7,0.9,1.3,70.6,0.3,2.6,2.9,5.2,0.8,0.4,1.4,11.6
138,Cory Joseph,80.0,25.0,9.3,3.7,8.3,45.2,0.6,1.7,35.6,1.2,1.5,77.0,0.6,2.3,2.9,3.3,0.8,0.2,1.4,10.3
139,Jeff Green,69.0,22.2,9.2,3.2,8.1,39.4,0.8,2.8,27.5,2.1,2.4,86.3,0.6,2.5,3.1,1.2,0.5,0.2,1.1,7.9
140,Gerald Henderson,72.0,23.2,9.2,3.3,7.7,42.3,0.8,2.4,35.3,1.8,2.3,80.6,0.5,2.1,2.6,1.6,0.6,0.2,0.9,8.3
141,Marquese Chriss,82.0,21.3,9.2,3.5,7.7,44.9,0.9,2.7,32.1,1.4,2.2,62.4,1.2,3.1,4.2,0.7,0.8,0.9,1.3,9.4
142,Michael Kidd-Gilchrist,81.0,29.0,9.2,3.6,7.6,47.7,0.0,0.1,11.1,1.9,2.4,78.4,1.9,5.0,7.0,1.4,1.0,1.0,0.7,14.3
143,Joe Johnson,78.0,23.6,9.2,3.5,8.0,43.6,1.4,3.3,41.1,0.8,1.0,81.8,0.4,2.7,3.1,1.8,0.5,0.2,0.9,9.2
144,Jameer Nelson,75.0,27.3,9.2,3.6,8.1,44.4,1.4,3.6,38.8,0.6,0.8,71.4,0.4,2.2,2.6,5.1,0.7,0.1,1.7,11.3
145,Channing Frye,74.0,18.9,9.1,3.2,7.0,45.8,1.9,4.5,40.9,0.9,1.0,85.1,0.5,3.4,3.9,0.6,0.4,0.5,0.7,9.9
146,Nene,67.0,17.9,9.1,3.7,5.9,61.7,0.0,0.1,33.3,1.7,2.9,58.9,1.4,2.8,4.2,1.0,0.8,0.6,1.1,11.1
147,Montrezl Harrell,58.0,18.3,9.1,3.9,5.9,65.2,0.0,0.1,14.3,1.3,2.1,62.8,1.4,2.4,3.8,1.1,0.3,0.7,0.8,11.4
148,Tony Allen,71.0,27.0,9.1,3.9,8.4,46.1,0.2,0.8,27.8,1.1,1.8,61.5,2.3,3.2,5.5,1.4,1.6,0.4,1.4,11.3
149,Kelly Olynyk,75.0,20.5,9.0,3.5,6.8,51.2,0.9,2.6,35.4,1.2,1.6,73.2,1.0,3.8,4.8,2.0,0.6,0.4,1.3,11.8
150,Evan Turner,65.0,25.5,9.0,3.6,8.5,42.6,0.5,1.8,26.3,1.3,1.6,82.5,0.6,3.2,3.8,3.2,0.8,0.4,1.5,10.5
151,Doug McDermott,66.0,22.8,9.0,3.4,7.5,44.7,1.2,3.2,37.0,1.1,1.3,84.5,0.3,2.4,2.7,0.9,0.2,0.1,0.6,7.9
152,JaMychal Green,77.0,27.3,8.9,3.2,6.5,50.0,0.7,1.9,37.9,1.7,2.2,80.2,2.2,4.9,7.1,1.1,0.6,0.4,1.2,13.3
153,DeMarre Carroll,72.0,26.1,8.9,3.1,7.6,40.0,1.5,4.4,34.1,1.2,1.6,76.1,0.9,2.9,3.8,1.0,1.1,0.4,0.8,9.5
154,Al-Farouq Aminu,61.0,29.1,8.7,3.0,7.6,39.3,1.1,3.5,33.0,1.6,2.2,70.6,1.3,6.1,7.4,1.6,1.0,0.7,1.5,12.6
155,Marreese Speights,82.0,15.7,8.7,3.0,6.7,44.5,1.3,3.4,37.2,1.5,1.7,87.6,1.1,3.5,4.5,0.8,0.3,0.5,0.8,10.0
156,Rondae Hollis-Jefferson,78.0,22.6,8.7,3.0,6.9,43.4,0.2,0.9,22.4,2.4,3.2,75.1,1.2,4.6,5.8,2.0,1.1,0.6,1.5,11.8
157,Tony Snell,80.0,29.2,8.5,3.1,6.8,45.5,1.8,4.4,40.6,0.6,0.7,81.0,0.3,2.8,3.1,1.2,0.7,0.2,0.7,9.2
158,Monta Ellis,74.0,27.0,8.5,3.3,7.5,44.3,0.6,1.8,31.9,1.3,1.7,72.7,0.3,2.5,2.8,3.2,1.1,0.4,1.8,9.4
159,Arron Afflalo,61.0,25.9,8.4,3.0,6.9,44.0,1.0,2.5,41.1,1.4,1.5,89.2,0.1,1.9,2.0,1.3,0.3,0.1,0.7,7.5
160,Norman Powell,76.0,18.0,8.4,3.0,6.7,44.9,0.7,2.3,32.4,1.7,2.1,79.2,0.3,1.9,2.2,1.1,0.7,0.2,0.9,7.5
161,Troy Daniels,67.0,17.7,8.2,2.8,7.4,37.4,2.1,5.3,38.9,0.6,0.8,79.6,0.3,1.2,1.5,0.7,0.3,0.1,0.7,5.3
162,Willy Hernangomez,72.0,18.4,8.2,3.4,6.5,52.9,0.1,0.2,26.7,1.3,1.7,72.8,2.4,4.6,7.0,1.3,0.6,0.5,1.4,12.6
163,Willie Cauley-Stein,75.0,18.9,8.1,3.4,6.4,53.0,0.0,0.0,0.0,1.3,2.0,66.9,1.1,3.4,4.5,1.1,0.7,0.6,0.9,10.4
164,Ben McLemore,61.0,19.3,8.1,3.0,6.9,43.0,1.1,2.8,38.2,1.1,1.5,75.3,0.3,1.8,2.1,0.8,0.5,0.1,1.0,6.3
165,Al Jefferson,66.0,14.1,8.1,3.6,7.1,49.9,0.0,0.0,0.0,1.0,1.3,76.5,1.1,3.1,4.2,0.9,0.3,0.2,0.5,9.3
166,Tristan Thompson,78.0,29.9,8.1,3.4,5.6,60.0,0.0,0.0,0.0,1.4,2.7,49.8,3.7,5.5,9.2,1.0,0.5,1.1,0.8,15.4
167,Vince Carter,73.0,24.7,8.0,2.6,6.7,39.4,1.5,4.1,37.8,1.2,1.6,76.5,0.5,2.6,3.1,1.8,0.8,0.5,0.7,9.2
168,Alex Len,77.0,20.3,8.0,3.0,6.0,49.7,0.0,0.2,25.0,1.9,2.7,72.1,2.0,4.6,6.6,0.6,0.5,1.3,1.3,11.8
169,Langston Galloway,74.0,20.2,7.9,2.8,7.4,38.0,1.6,4.2,39.0,0.7,0.9,79.7,0.4,1.7,2.1,1.3,0.6,0.1,0.6,6.6
170,D.J. Augustin,78.0,19.7,7.9,2.5,6.6,37.7,1.2,3.5,34.7,1.7,2.1,81.4,0.2,1.3,1.5,2.7,0.4,0.0,1.2,6.8
171,Rajon Rondo,69.0,26.7,7.8,3.3,8.1,40.8,0.7,1.9,37.6,0.4,0.7,60.0,1.1,4.1,5.1,6.7,1.4,0.2,2.4,13.7
172,Sergio Rodriguez,68.0,22.3,7.8,3.1,7.9,39.2,1.4,3.7,36.5,0.3,0.4,66.7,0.3,2.0,2.3,5.1,0.7,0.1,1.9,9.1
173,Garrett Temple,65.0,26.6,7.8,2.8,6.6,42.4,1.3,3.4,37.3,0.9,1.1,78.4,0.5,2.3,2.8,2.6,1.3,0.4,1.2,9.6
174,Justin Holiday,82.0,20.0,7.7,2.8,6.6,43.3,1.2,3.3,35.5,0.8,1.0,82.5,0.3,2.4,2.7,1.2,0.8,0.4,0.8,8.1
175,Matthew Dellavedova,76.0,26.1,7.6,2.7,7.0,39.0,1.0,2.8,36.7,1.1,1.3,85.4,0.3,1.6,1.9,4.7,0.7,0.0,1.8,8.7
176,Andre Iguodala,76.0,26.3,7.6,2.9,5.5,52.8,0.8,2.3,36.2,0.9,1.3,70.6,0.7,3.3,4.0,3.4,1.0,0.5,0.8,12.8
177,Manu Ginobili,69.0,18.7,7.5,2.5,6.4,39.0,1.3,3.3,39.2,1.2,1.6,80.4,0.4,1.9,2.3,2.7,1.2,0.2,1.4,8.3
178,Iman Shumpert,76.0,25.5,7.5,2.6,6.4,41.1,1.2,3.4,36.0,0.9,1.2,78.9,0.5,2.4,2.9,1.4,0.8,0.4,1.0,7.9
179,Isaiah Whitehead,73.0,22.5,7.4,2.8,7.0,40.2,0.6,2.0,29.5,1.2,1.5,80.5,0.4,2.1,2.5,2.6,0.6,0.5,1.9,7.2
180,Spencer Dinwiddie,59.0,22.6,7.3,2.3,5.1,44.4,0.6,1.7,37.6,2.1,2.7,79.2,0.5,2.3,2.8,3.1,0.7,0.4,1.1,9.8
181,Danny Green,68.0,26.6,7.3,2.6,6.6,39.2,1.7,4.6,37.9,0.4,0.5,84.4,0.5,2.8,3.3,1.8,1.0,0.8,1.1,9.1
182,David Lee,79.0,18.7,7.3,3.1,5.3,59.0,0.0,0.0,0.0,1.0,1.4,70.8,1.9,3.7,5.6,1.6,0.4,0.5,1.0,11.7
183,Tyler Ulis,61.0,18.4,7.3,3.0,7.2,42.1,0.3,1.3,26.6,0.9,1.2,77.5,0.3,1.2,1.6,3.7,0.8,0.1,1.3,7.7
184,Thabo Sefolosha,62.0,25.7,7.2,2.8,6.4,44.1,0.7,1.9,34.2,0.9,1.2,73.3,0.9,3.5,4.4,1.7,1.5,0.5,0.9,10.5
185,Tim Frazier,65.0,23.5,7.1,2.5,6.2,40.3,0.6,2.0,31.3,1.5,2.0,76.0,0.5,2.1,2.7,5.2,0.9,0.1,1.6,10.2
186,Larry Nance Jr.,63.0,22.9,7.1,3.0,5.7,52.6,0.2,0.6,27.8,0.9,1.3,73.8,1.9,4.0,5.9,1.5,1.3,0.6,0.9,12.5
187,Brandon Jennings,81.0,22.2,7.1,2.4,6.6,35.9,1.0,3.1,31.3,1.4,1.9,75.0,0.4,2.1,2.4,4.9,0.9,0.0,1.6,9.0
188,Matt Barnes,74.0,24.0,7.1,2.5,6.4,39.1,1.2,3.6,33.1,0.9,1.2,78.7,0.9,4.2,5.2,2.6,0.6,0.4,1.4,10.4
189,Justin Anderson,75.0,16.4,7.1,2.5,5.9,42.4,0.8,2.6,29.9,1.4,1.7,79.1,0.9,2.3,3.3,0.9,0.5,0.3,0.9,7.5
190,Anthony Tolliver,65.0,22.7,7.1,2.4,5.4,44.2,1.4,3.5,39.1,0.9,1.3,74.4,0.8,2.9,3.6,1.2,0.5,0.3,0.9,8.6
191,Joe Ingles,82.0,24.0,7.1,2.5,5.5,45.2,1.5,3.4,44.1,0.6,0.8,73.5,0.3,2.9,3.2,2.7,1.2,0.1,1.3,9.7
192,Solomon Hill,80.0,29.7,7.0,2.3,6.0,38.3,1.2,3.4,34.8,1.3,1.6,80.5,0.6,3.2,3.8,1.8,0.9,0.4,1.0,8.9
193,Justin Hamilton,64.0,18.4,6.9,2.7,5.9,45.9,0.9,2.8,30.6,0.6,0.8,75.0,1.1,3.0,4.1,0.9,0.5,0.7,0.7,8.9
194,T.J. McConnell,81.0,26.3,6.9,2.9,6.3,46.1,0.1,0.7,20.0,0.9,1.1,81.1,0.5,2.6,3.1,6.6,1.7,0.1,2.0,12.8
195,Patrick Patterson,65.0,24.6,6.8,2.4,5.9,40.1,1.4,3.9,37.2,0.7,0.9,71.7,1.0,3.6,4.5,1.2,0.6,0.4,0.6,9.1
196,Ian Clark,77.0,14.8,6.8,2.7,5.6,48.7,0.8,2.1,37.4,0.6,0.8,75.9,0.3,1.3,1.6,1.2,0.5,0.1,0.7,6.4
197,Bobby Portis,64.0,15.6,6.8,2.9,5.9,48.8,0.5,1.5,33.3,0.6,0.9,66.1,1.2,3.5,4.6,0.5,0.3,0.2,0.6,8.5
198,Jared Dudley,64.0,21.3,6.8,2.5,5.4,45.4,1.2,3.2,37.9,0.7,1.0,66.2,0.5,3.0,3.5,1.9,0.7,0.3,1.1,8.7
199,John Henson,58.0,19.4,6.8,2.7,5.3,51.5,0.0,0.0,0.0,1.3,1.8,69.2,1.6,3.5,5.1,1.0,0.5,1.3,0.9,10.6
200,Raymond Felton,80.0,21.3,6.7,2.8,6.4,43.0,0.6,1.8,31.9,0.6,0.8,78.1,0.4,2.3,2.7,2.4,0.8,0.3,1.0,8.1
201,Devin Harris,65.0,16.7,6.7,2.1,5.2,39.9,0.9,2.7,32.8,1.6,2.0,82.9,0.2,1.8,2.0,2.1,0.7,0.1,0.9,7.2
202,James Ennis III,64.0,23.5,6.7,2.3,5.0,45.5,0.8,2.1,37.2,1.3,1.7,78.2,1.1,3.0,4.0,1.0,0.7,0.3,0.9,8.7
203,Dwight Powell,77.0,17.3,6.7,2.5,4.9,51.5,0.3,1.0,28.4,1.4,1.8,75.9,1.2,2.8,4.0,0.6,0.8,0.5,0.4,9.4
204,PJ Tucker,81.0,27.6,6.7,2.5,6.0,41.3,0.9,2.4,35.7,0.9,1.1,77.4,1.4,4.4,5.8,1.2,1.4,0.2,0.8,10.8
205,Kosta Koufos,71.0,20.0,6.6,3.0,5.5,55.1,0.0,0.0,0.0,0.5,0.9,61.3,1.7,4.0,5.7,0.7,0.5,0.7,0.9,10.5
206,Andre Roberson,79.0,30.1,6.6,2.7,5.9,46.4,0.6,2.3,24.5,0.6,1.4,42.3,1.2,3.9,5.1,1.0,1.2,1.0,0.6,10.3
207,Jaylen Brown,78.0,17.2,6.6,2.5,5.4,45.5,0.6,1.7,34.3,1.1,1.6,68.5,0.6,2.2,2.8,0.8,0.4,0.2,0.9,6.6
208,Dante Cunningham,66.0,25.0,6.6,2.6,5.4,48.5,1.1,2.7,39.2,0.2,0.4,59.3,0.8,3.3,4.2,0.6,0.6,0.4,0.4,9.0
209,Sam Dekker,77.0,18.4,6.5,2.6,5.6,47.3,0.8,2.4,32.1,0.5,0.9,55.9,1.2,2.5,3.7,1.0,0.5,0.3,0.5,8.1
210,Amir Johnson,80.0,20.1,6.5,2.7,4.6,57.6,0.3,0.8,40.9,0.8,1.3,67.0,1.5,3.1,4.6,1.8,0.6,0.8,1.0,10.9
211,Timothe Luwawu-Cabarrot,69.0,17.2,6.4,2.1,5.2,40.2,0.7,2.3,31.1,1.5,1.8,85.4,0.4,1.8,2.2,1.1,0.5,0.1,1.1,5.9
212,Mirza Teletovic,70.0,16.2,6.4,2.2,6.0,37.3,1.5,4.4,34.1,0.5,0.6,77.8,0.2,2.2,2.3,0.7,0.2,0.2,0.5,5.4
213,Rodney McGruder,78.0,25.2,6.4,2.4,5.9,41.3,0.9,2.8,33.2,0.6,0.9,62.0,1.2,2.1,3.3,1.6,0.6,0.2,0.7,7.5
214,Kelly Oubre Jr.,79.0,20.3,6.3,2.4,5.6,42.1,0.7,2.4,28.7,0.9,1.3,75.8,0.8,2.5,3.3,0.6,0.7,0.2,0.6,7.0
215,Kyle O'Quinn,79.0,15.6,6.3,2.7,5.2,52.1,0.0,0.2,11.8,0.8,1.1,77.1,2.0,3.6,5.6,1.5,0.5,1.3,1.0,11.4
216,Leandro Barbosa,67.0,14.4,6.3,2.6,5.9,43.9,0.5,1.5,35.7,0.6,0.7,88.9,0.2,1.3,1.6,1.2,0.5,0.1,0.7,5.5
217,Mindaugas Kuzminskas,68.0,14.9,6.3,2.3,5.4,42.8,0.8,2.5,32.1,0.8,1.0,80.9,0.7,1.2,1.9,1.0,0.4,0.2,0.8,5.7
218,Dante Exum,66.0,18.6,6.2,2.3,5.5,42.7,0.7,2.3,29.5,0.9,1.1,79.5,0.5,1.5,2.0,1.7,0.3,0.2,1.2,5.8
219,Mike Muscala,70.0,17.7,6.2,2.4,4.8,50.4,0.7,1.6,41.8,0.7,0.9,76.6,1.1,2.3,3.4,1.4,0.4,0.6,0.8,8.6
220,Nemanja Bjelica,65.0,18.3,6.2,2.3,5.5,42.4,0.9,2.7,31.6,0.7,0.9,73.8,0.9,2.9,3.8,1.2,0.6,0.3,0.9,7.8
221,Trey Lyles,71.0,16.3,6.2,2.2,6.2,36.2,0.9,2.9,31.9,0.8,1.1,72.2,0.7,2.6,3.3,1.0,0.4,0.3,0.9,6.0
222,Jonathon Simmons,78.0,17.8,6.2,2.3,5.4,42.0,0.4,1.3,29.4,1.3,1.7,75.0,0.3,1.8,2.1,1.6,0.6,0.3,1.0,6.3
223,JaVale McGee,77.0,9.6,6.1,2.7,4.1,65.2,0.0,0.0,0.0,0.7,1.4,50.5,1.3,1.9,3.2,0.2,0.2,0.9,0.5,8.0
224,Zaza Pachulia,70.0,18.1,6.1,2.3,4.4,53.4,0.0,0.0,0.0,1.4,1.8,77.8,2.0,3.9,5.9,1.9,0.8,0.5,1.2,11.5
225,Glenn Robinson III,69.0,20.7,6.1,2.3,4.9,46.7,0.7,1.8,39.2,0.8,1.1,71.1,0.8,2.7,3.6,0.7,0.6,0.3,0.5,7.7
226,Luc Mbah a Moute,80.0,22.3,6.1,2.4,4.7,50.5,0.5,1.4,39.1,0.7,1.1,67.8,0.6,1.6,2.1,0.5,1.0,0.4,0.6,6.9
227,Alex Abrines,68.0,15.5,6.0,2.0,5.0,39.3,1.4,3.6,38.1,0.6,0.7,89.8,0.3,1.0,1.3,0.6,0.5,0.1,0.5,4.9
228,Bismack Biyombo,81.0,22.1,6.0,2.2,4.2,52.8,0.0,0.0,0.0,1.5,2.9,53.4,1.9,5.1,7.0,0.9,0.3,1.1,1.2,10.8
229,Domantas Sabonis,81.0,20.1,5.9,2.4,5.9,39.9,0.6,2.0,32.1,0.5,0.8,65.7,0.6,3.0,3.6,1.0,0.5,0.4,1.0,6.5
230,Andrew Harrison,72.0,20.5,5.9,1.6,5.0,32.5,0.6,2.2,27.6,2.1,2.7,76.3,0.3,1.6,1.9,2.8,0.7,0.3,1.2,6.4
231,Jerian Grant,63.0,16.3,5.9,2.0,4.8,42.5,0.8,2.1,36.6,1.0,1.2,89.0,0.3,1.5,1.8,1.9,0.7,0.1,0.7,6.9
232,Tarik Black,67.0,16.3,5.7,2.2,4.4,51.0,0.0,0.0,50.0,1.2,1.6,75.2,2.1,3.0,5.1,0.6,0.4,0.7,0.9,9.1
233,Taurean Prince,59.0,16.6,5.7,1.9,4.8,40.0,0.6,1.7,32.4,1.3,1.6,78.7,0.4,2.2,2.7,0.9,0.7,0.5,1.0,6.2
234,Jason Smith,74.0,14.4,5.7,2.4,4.4,52.9,0.5,1.1,47.4,0.5,0.7,68.6,0.9,2.6,3.5,0.5,0.3,0.7,0.8,7.6
235,Richard Jefferson,79.0,20.4,5.7,1.9,4.3,44.6,0.8,2.4,33.3,1.0,1.4,74.1,0.4,2.2,2.6,1.0,0.3,0.1,0.7,6.3
236,Terry Rozier,74.0,17.1,5.5,2.0,5.6,36.7,0.8,2.4,31.8,0.7,0.9,77.3,0.5,2.5,3.1,1.8,0.6,0.1,0.6,6.8
237,Jerami Grant,80.0,19.1,5.5,1.9,4.1,46.3,0.5,1.5,37.1,1.1,1.8,61.2,0.5,2.1,2.6,0.6,0.4,1.0,0.6,6.5
238,Meyers Leonard,74.0,16.5,5.4,2.0,5.1,38.6,1.0,2.9,34.7,0.5,0.5,87.5,0.4,2.8,3.2,1.0,0.2,0.4,0.5,6.5
239,Joffrey Lauvergne,70.0,14.0,5.4,2.1,4.8,44.0,0.5,1.4,33.7,0.7,1.0,63.0,1.0,2.6,3.6,1.0,0.4,0.1,0.8,6.5
240,Malcolm Delaney,73.0,17.1,5.4,2.0,5.3,37.4,0.4,1.5,23.6,1.0,1.3,80.6,0.1,1.5,1.7,2.6,0.5,0.0,1.3,5.4
241,Willie Reed,71.0,14.5,5.3,2.3,4.0,56.8,0.0,0.1,25.0,0.7,1.2,55.7,1.8,2.9,4.7,0.4,0.3,0.7,0.4,8.5
242,Randy Foye,69.0,18.6,5.2,1.7,4.7,36.3,1.0,2.9,33.0,0.8,0.9,85.7,0.1,2.1,2.2,2.0,0.5,0.1,1.2,5.7
243,Shaun Livingston,76.0,17.7,5.1,2.3,4.2,54.7,0.0,0.0,33.3,0.6,0.8,70.0,0.4,1.6,2.0,1.8,0.5,0.3,0.8,6.8
244,Dewayne Dedmon,76.0,17.5,5.1,2.1,3.4,62.2,0.0,0.0,0.0,0.9,1.2,69.9,1.7,4.8,6.5,0.6,0.5,0.8,0.8,11.0
245,Aaron Brooks,65.0,13.8,5.0,1.9,4.6,40.3,0.7,2.0,37.5,0.5,0.6,80.0,0.3,0.8,1.1,1.9,0.4,0.1,1.0,4.6
246,Juancho Hernangomez,62.0,13.6,4.9,1.6,3.6,45.1,0.7,1.8,40.7,0.9,1.2,75.0,0.7,2.3,3.0,0.5,0.5,0.2,0.5,6.3
247,Mario Hezonja,65.0,14.8,4.9,1.8,5.1,35.5,0.7,2.2,29.9,0.6,0.8,80.0,0.3,1.9,2.2,1.0,0.5,0.2,0.9,4.4
248,Aron Baynes,75.0,15.5,4.9,1.9,3.7,51.3,0.0,0.0,0.0,1.1,1.3,84.0,1.5,3.0,4.4,0.4,0.2,0.5,0.7,7.8
249,Cristiano Felicio,66.0,15.8,4.8,1.9,3.3,57.9,0.0,0.0,0.0,0.9,1.4,64.5,1.9,2.8,4.7,0.6,0.4,0.3,0.5,8.3
250,Luke Babbitt,68.0,15.7,4.8,1.7,4.1,40.2,1.3,3.1,41.4,0.2,0.2,73.3,0.2,1.9,2.1,0.5,0.3,0.2,0.4,4.9
251,David West,68.0,12.6,4.6,2.0,3.7,53.6,0.0,0.1,37.5,0.6,0.8,76.8,0.7,2.3,3.0,2.2,0.6,0.7,1.1,8.1
252,Boris Diaw,73.0,17.6,4.6,2.0,4.5,44.6,0.3,1.1,24.7,0.4,0.5,74.3,0.6,1.5,2.2,2.3,0.2,0.1,1.2,5.7
253,C.J. Watson,62.0,16.3,4.5,1.5,4.0,38.7,0.5,1.7,30.5,0.9,1.1,86.4,0.3,1.2,1.4,1.8,0.7,0.0,0.8,5.2
254,Corey Brewer,82.0,15.6,4.5,1.8,4.2,42.2,0.3,1.4,22.9,0.6,0.8,73.5,0.4,1.6,2.0,1.2,0.7,0.2,0.7,5.4
255,Davis Bertans,67.0,12.1,4.5,1.5,3.5,44.0,1.0,2.6,39.9,0.4,0.5,82.4,0.3,1.1,1.5,0.7,0.3,0.4,0.5,4.9
256,Noah Vonleh,74.0,17.1,4.4,1.8,3.6,48.1,0.1,0.3,35.0,0.8,1.3,63.8,1.8,3.5,5.2,0.4,0.4,0.4,0.9,7.6
257,Stanley Johnson,77.0,17.8,4.4,1.7,4.7,35.3,0.6,2.0,29.2,0.5,0.7,67.9,0.5,2.0,2.5,1.4,0.7,0.3,0.9,5.1
258,Dorian Finney-Smith,81.0,20.3,4.3,1.5,4.1,37.2,0.7,2.4,29.3,0.6,0.8,75.4,0.7,2.1,2.7,0.8,0.6,0.3,0.6,5.5
259,Jason Terry,74.0,18.4,4.1,1.4,3.3,43.2,1.0,2.3,42.7,0.3,0.4,82.8,0.2,1.2,1.4,1.3,0.6,0.3,0.5,5.4
260,Patrick McCaw,71.0,15.1,4.0,1.5,3.5,43.3,0.6,1.7,33.3,0.4,0.5,78.4,0.3,1.1,1.4,1.1,0.5,0.2,0.5,4.5
261,Jonas Jerebko,78.0,15.8,3.8,1.5,3.4,43.5,0.6,1.7,34.6,0.3,0.5,70.3,0.8,2.7,3.5,0.9,0.3,0.2,0.5,6.2
262,Kris Dunn,78.0,17.1,3.8,1.5,4.0,37.7,0.3,0.9,28.8,0.5,0.8,61.0,0.3,1.8,2.1,2.4,1.0,0.5,1.1,5.8
263,Tyus Jones,60.0,12.9,3.5,1.3,3.0,41.4,0.4,1.2,35.6,0.6,0.7,76.7,0.2,1.0,1.1,2.6,0.8,0.1,0.6,5.5
264,Kyle Anderson,72.0,14.2,3.4,1.3,2.9,44.5,0.2,0.6,37.5,0.6,0.8,78.9,0.5,2.4,2.9,1.3,0.7,0.4,0.5,6.3
265,Salah Mejri,73.0,12.4,2.9,1.2,1.9,64.2,0.0,0.0,33.3,0.5,0.8,59.0,1.3,2.9,4.2,0.2,0.4,0.8,0.5,7.0
266,Lavoy Allen,61.0,14.3,2.9,1.3,2.8,45.8,0.0,0.0,0.0,0.4,0.5,69.7,1.7,1.9,3.6,0.9,0.3,0.4,0.5,6.0
267,Semaj Christon,64.0,15.2,2.9,1.2,3.5,34.5,0.2,1.0,19.0,0.3,0.5,54.8,0.3,1.1,1.4,2.0,0.4,0.1,0.7,3.6
268,Wesley Johnson,68.0,11.9,2.7,1.1,2.9,36.5,0.4,1.7,24.6,0.2,0.3,64.7,0.4,2.3,2.7,0.3,0.4,0.4,0.3,4.4
269,DeAndre Liggins,62.0,12.5,2.5,0.9,2.3,38.7,0.3,0.7,37.0,0.4,0.6,62.5,0.3,1.4,1.7,0.9,0.8,0.2,0.7,3.7
270,Cole Aldrich,62.0,8.6,1.7,0.7,1.4,52.3,0.0,0.0,0.0,0.2,0.4,68.2,0.8,1.7,2.5,0.4,0.4,0.4,0.3,4.4
